Name,City,Cuisine Style,Ranking,Rating,Number of Reviews
Burger Zaken,Amsterdam,"['American', 'Fast Food']",387,4,623
Berkhout,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly']",388,4.5,166
Restaurant Lastage,Amsterdam,"['French', 'Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",389,4.5,301
Moon,Amsterdam,"['International', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",390,4,288
Singel 101 Restaurant,Amsterdam,"['European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",391,4.5,253
Cafe 'T Gasthuys,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly']",392,4.5,224
Mas Y Mas,Amsterdam,"['Italian', 'Steakhouse', 'Argentinean', 'European']",393,4,595
Cafe Kale B.V.,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly', 'Vegan Options']",394,4,204
Mister Meatball,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly']",395,5,39
Bagels & Beans,Amsterdam,"['Healthy', 'Cafe', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",396,4.5,157
New York Steakhouse,Amsterdam,"['Steakhouse', 'European', 'Gluten Free Options']",397,4,211
Biercafe Gollem,Amsterdam,"['Bar', 'Pub', 'Dutch', 'European']",398,4.5,90
Tapas Bar Catala,Amsterdam,"['Mediterranean', 'European', 'Spanish']",399,4,341
Getto,Amsterdam,"['American', 'Bar', 'European', 'Vegetarian Friendly']",400,4.5,253
Le Pain Quotidien - Spuistraat,Amsterdam,"['Cafe', 'European', 'Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",401,4,383
SKYY Bar Amsterdam,Amsterdam,"['Bar', 'International', 'European']",402,4.5,204
Cafe George,Amsterdam,"['Italian', 'French', 'Bar', 'Cafe', 'European', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options']",403,4,342
L'Entrecote et les Dames,Amsterdam,"['French', 'European', 'Contemporary']",404,4,237
Riva,Amsterdam,"['Dutch', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",405,4,220
Myrabelle,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",406,4.5,200
Vishandel Albert Cuyp,Amsterdam,"['Dutch', 'Seafood', 'Fast Food', 'European']",407,4.5,167
Labyrinth,Amsterdam,"['American', 'Caribbean', 'African', 'Vegetarian Friendly', 'Gluten Free Options']",408,5,35
Stubbe's haring,Amsterdam,"['Dutch', 'Fast Food']",409,4.5,135
Cafe Brasserie Meuwese,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",410,4,142
Wyers Bar & Restaurant,Amsterdam,"['International', 'European', 'Grill', 'American', 'Dutch', 'Bar', 'Vegetarian Friendly']",411,4.5,80
Lost in Amsterdam,Amsterdam,['Cafe'],412,4.5,241
Ku Kitchen Bar,Amsterdam,"['Japanese', 'Asian', 'Seafood', 'Sushi', 'Vegetarian Friendly', 'Gluten Free Options']",413,4.5,110
Cafe Thijssen,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",414,4,230
Bar Mick,Amsterdam,"['Bar', 'European', 'Dutch', 'International', 'Pub']",415,4.5,86
L'angolo Italiano,Amsterdam,"['Italian', 'European', 'Mediterranean', 'Gluten Free Options', 'Vegetarian Friendly']",416,4.5,198
Grandcafe Hermes,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",417,4.5,446
Le Restaurant Amsterdam,Amsterdam,"['French', 'International', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",418,4.5,114
Ibericus Amsterdam,Amsterdam,"['Mediterranean', 'European', 'Spanish']",419,4.5,196
Fou Fow Ramen,Amsterdam,"['Japanese', 'Asian', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",420,4,224
Cafe De Gaeper,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub']",421,4.5,105
Broer,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Street Food', 'Vegetarian Friendly', 'Vegan Options']",422,5,50
Geisha Restaurant & Lounge,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",423,4.5,312
De Pizzabakkers Plantage,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options']",424,4.5,139
Koh-i-Noor,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",425,4,420
Conservatorium Brasserie & Lounge Amsterdam,Amsterdam,"['Bar', 'European', 'Central European', 'French', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",426,4,479
Small World Catering,Amsterdam,"['Vegetarian Friendly', 'Vegan Options']",427,4.5,109
Aneka Rasa,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options']",428,4,525
Febo,Amsterdam,"['Dutch', 'Fast Food', 'European']",429,4,242
Het Elfde Gebod,Amsterdam,['Bar'],430,4.5,89
Restaurant Amsterdam,Amsterdam,"['Dutch', 'Seafood', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",431,4,364
The Grasshopper - Grand Cafe,Amsterdam,"['International', 'Bar', 'European', 'Pub', 'Grill', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",432,3.5,612
De Ysbreeker,Amsterdam,"['French', 'Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",433,4,343
Cafe van Zuylen,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly', 'Vegan Options']",434,4,452
Green House Munchies,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",435,4.5,138
Hearth,Amsterdam,"['International', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",436,5,37
De Kersentuin,Amsterdam,"['European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",437,4.5,172
Lion Noir,Amsterdam,"['European', 'Vegetarian Friendly', 'Gluten Free Options']",438,4,381
Steakhouse Piet de Leeuw,Amsterdam,"['Steakhouse', 'Dutch', 'European']",439,4,383
Gebr. Hartering,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",440,4.5,215
Cafe In de Waag,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",441,3.5,732
Cafe Hoppe,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub']",442,4,244
the Urker Fish Shop (de Urker Viswinkel),Amsterdam,"['Dutch', 'Seafood', 'Delicatessen', 'Fast Food']",443,5,39
Pane E Olio,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",444,4.5,102
Restaurant Piccolo Mondo Amsterdam,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly']",445,4,261
mayur,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",446,4.5,401
Roberto's,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",447,4.5,348
The Uptown Meat Club,Amsterdam,"['American', 'Steakhouse', 'European']",448,4,331
SLA Utrechtsestraat,Amsterdam,"['Healthy', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",449,4.5,81
Gauchos - Beethovenstraat,Amsterdam,"['Steakhouse', 'Barbecue', 'European', 'Argentinean', 'Gluten Free Options']",450,4,212
Abinish,Amsterdam,"['Mediterranean', 'European', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",451,4.5,105
Restaurant Lucca,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",452,4.5,102
Spaghetteria West,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",453,4.5,211
Restaurant De Roode Leeuw,Amsterdam,"['Dutch', 'European', 'Central European', 'Gluten Free Options']",454,4,552
Cafe De Prins,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Soups', 'Vegetarian Friendly']",455,4,446
Pasta Bar,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",456,4,481
Zomerrestaurant Vuurtoreneiland,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options']",457,5,50
Albert Heijn to Go,Amsterdam,"['Vegetarian Friendly', 'Vegan Options']",458,4.5,53
Restaurant Portugalia,Amsterdam,"['Seafood', 'Mediterranean', 'European', 'Portuguese']",459,4.5,220
Restaurant Semai,Amsterdam,"['African', 'Ethiopian', 'Vegan Options', 'Vegetarian Friendly', 'Gluten Free Options']",460,5,37
Tempo Doeloe,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",461,4,709
Caffe Italia,Amsterdam,"['Italian', 'Pizza', 'International', 'Bar', 'Vegetarian Friendly', 'Vegan Options']",462,4,239
Bar Bukowski,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'International', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",463,4.5,143
Lunchcafe Blom,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly']",464,4,281
Mastino Pizza,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",465,4.5,84
New Season,Amsterdam,"['Chinese', 'Asian', 'Vegetarian Friendly']",466,4.5,198
Bar Louie Louie Amsterdam,Amsterdam,"['Bar', 'European', 'Fusion', 'Gastropub']",467,4,110
De Nieuwe Pilserij,Amsterdam,"['Dutch', 'Bar', 'European', 'Brew Pub', 'Vegetarian Friendly', 'Gluten Free Options']",468,4.5,122
Pastini,Amsterdam,"['International', 'Italian', 'European', 'Vegetarian Friendly']",469,4.5,204
Bagels & Beans,Amsterdam,"['Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",470,4.5,155
Jacobsz,Amsterdam,"['International', 'European', 'Vegetarian Friendly', 'Vegan Options']",471,4.5,92
The Cottage,Amsterdam,"['European', 'British', 'Pub', 'Dutch', 'Bar', 'Vegetarian Friendly', 'Vegan Options']",472,5,30
Wijnbar Paulus,Amsterdam,"['Bar', 'European', 'Wine Bar', 'Vegetarian Friendly']",473,5,72
Lunchcafe Waterloo,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Vegetarian Friendly']",474,4.5,85
Maenaam Thai Restaurant,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options']",475,4.5,96
Chez Lorraine,Amsterdam,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",476,5,46
Thrill Grill,Amsterdam,"['American', 'Bar', 'European', 'Vegetarian Friendly']",477,4,260
Formosa Argentina,Amsterdam,"['Steakhouse', 'Latin', 'Barbecue', 'Argentinean', 'Gluten Free Options', 'Vegetarian Friendly']",478,4.5,120
Fashion’s Restaurant & Bar,Amsterdam,"['Dutch', 'European', 'French', 'Vegetarian Friendly', 'Gluten Free Options']",479,4.5,128
Oslo Beers,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",480,4,211
NELIS Oost,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly']",481,4.5,119
Braai Westerpark,Amsterdam,"['African', 'Barbecue', 'American', 'Bar', 'Vegetarian Friendly', 'Gluten Free Options']",482,4.5,70
Van Vlaanderen,Amsterdam,"['Dutch', 'European', 'French', 'Vegetarian Friendly', 'Gluten Free Options']",483,4.5,168
Ganesha,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",484,4.5,390
Scheepskameel,Amsterdam,"['Seafood', 'European', 'Vegetarian Friendly']",485,4.5,95
Wester Cafe,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Vegetarian Friendly']",486,4,238
Bordewijk,Amsterdam,"['French', 'Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",487,4.5,199
Shiva Indian Restaurant,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",488,4,379
Tasty Burger,Amsterdam,"['American', 'Fast Food', 'Grill', 'Vegetarian Friendly']",489,4.5,51
Cannibale Royale Lange Niezel,Amsterdam,"['American', 'Steakhouse', 'Bar', 'Barbecue', 'European', 'Grill']",490,4.5,145
Slainte Irish Pub,Amsterdam,"['Irish', 'Bar', 'Pub']",491,4,244
Ko-Chang,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly']",492,4.5,164
Morgan and Mees,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",493,4,153
Franggo,Amsterdam,"['Grill', 'Portuguese', 'Barbecue']",494,4.5,34
Mi Sueno,Amsterdam,"['Steakhouse', 'Latin', 'Argentinean', 'Grill']",495,4.5,118
Restaurant Gusto,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",496,4,312
Van't Spit,Amsterdam,"['Barbecue', 'European', 'Gluten Free Options']",497,4.5,120
Graham's Kitchen,Amsterdam,"['European', 'Vegetarian Friendly', 'Vegan Options']",498,4.5,64
Rancho Argentinian Grill,Amsterdam,"['Steakhouse', 'Bar', 'Barbecue', 'Argentinean']",499,3.5,739
Louis,Amsterdam,"['Bar', 'Cafe', 'European', 'Pub', 'Dutch']",500,4.5,142
Mangia Pizza,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",501,4.5,184
Cafe de Engelbewaarder,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly']",502,4.5,129
De Japanner,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",503,4.5,74
De Wasserette,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",504,4.5,91
Stadscafe van Mechelen,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options']",505,4,120
Fiko,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",506,4.5,59
Ellis Gourmet Burger Prinsengracht BV,Amsterdam,"['American', 'Bar', 'Vegetarian Friendly']",507,4,377
Spanjer en van Twist,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly']",508,4,250
VOLT,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",509,4.5,153
De Waaghals,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",510,4,250
Delirium Cafe Amsterdam,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly', 'Gluten Free Options']",511,4,256
Levant,Amsterdam,"['Mediterranean', 'European', 'Turkish', 'Vegetarian Friendly', 'Vegan Options']",512,4.5,125
Salsa Shop,Amsterdam,"['Mexican', 'Southwestern', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",513,4.5,189
Mook Pancakes City Center,Amsterdam,"['Cafe', 'Dutch', 'European', 'Vegetarian Friendly']",514,4.5,39
Regular & Jack,Amsterdam,"['Bar', 'European', 'Pub', 'Vegetarian Friendly']",515,4.5,81
De Italiaan,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",516,4,259
Tashi Deleg,Amsterdam,"['Indonesian', 'Tibetan', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",517,4,164
Taberna Jottum,Amsterdam,"['Mediterranean', 'European', 'Grill', 'Healthy', 'Vegetarian Friendly', 'Vegan Options']",518,4.5,120
Friet Steeg,Amsterdam,"['Dutch', 'Fast Food', 'European', 'Vegetarian Friendly', 'Vegan Options']",519,4.5,103
Take Thai,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Gluten Free Options']",520,4.5,175
REM Eiland,Amsterdam,"['Dutch', 'European', 'Contemporary', 'Vegetarian Friendly']",521,3.5,317
De Fles,Amsterdam,"['Grill', 'Pub', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",522,4.5,233
The Waterhole Tap & Dine,Amsterdam,"['American', 'Steakhouse', 'Bar', 'Grill', 'Pub', 'Vegetarian Friendly', 'Vegan Options']",523,4.5,102
Balthazar's Keuken,Amsterdam,"['European', 'International']",524,4,302
Betty's,Amsterdam,"['European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",525,4.5,137
Toos en Roos,Amsterdam,"['Dutch', 'Cafe', 'European', 'Soups', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",526,4,324
Sorel's Bar and Lounge,Amsterdam,"['Bar', 'European', 'American', 'Vegetarian Friendly']",527,4.5,107
New Dorrius,Amsterdam,"['Dutch', 'International', 'European', 'Healthy', 'Gluten Free Options']",528,4.5,282
Betawi,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options']",529,4.5,105
Restaurant Szmulewicz,Amsterdam,"['Dutch', 'European', 'International', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options']",530,4.5,255
Risto Enoteca PepeNero,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",531,4.5,50
Geflipt Burgers,Amsterdam,"['American', 'Dutch', 'Bar', 'European', 'Vegetarian Friendly']",532,4.5,62
Lokaal Edel,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",533,4,147
Jasmine Thai Cuisine,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options']",534,4,356
Burgerfabriek,Amsterdam,"['American', 'Fast Food']",535,4,240
Chez Georges,Amsterdam,"['French', 'Belgian', 'European']",536,4.5,149
Cobra Cafe,Amsterdam,"['Pub', 'Dutch', 'European', 'Healthy', 'Vegetarian Friendly']",537,3.5,497
"Pancakes Amsterdam, Prins Hendrikkade",Amsterdam,"['American', 'Dutch', 'Cafe', 'European', 'Delicatessen', 'Vegetarian Friendly', 'Vegan Options']",538,4,228
Mchi Food & Drinks,Amsterdam,"['Sushi', 'Vegan Options']",539,4.5,128
Waterkant,Amsterdam,"['Bar', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",540,4,148
Brasserie Van Dam,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",541,4,327
Sardegna,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",542,4,332
Taproom,Amsterdam,"['Bar', 'European', 'Pub', 'Dutch']",543,4.5,81
Cafe Cook,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly']",544,4.5,80
Mo-Jo Japanese Kitchen,Amsterdam,"['Sushi', 'Japanese', 'Seafood', 'Asian', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",545,4,337
Thijs by Dikker &Thijs,Amsterdam,"['Dutch', 'French', 'Vegetarian Friendly', 'Gluten Free Options']",546,4.5,180
Pakhuis,Amsterdam,"['Diner', 'Dutch', 'European', 'Grill', 'Pub', 'Gastropub']",547,4,225
Wijnbar Glou Glou Amsterdam,Amsterdam,"['Wine Bar', 'European', 'Vegetarian Friendly']",548,4.5,44
Seafood restaurant Brasserie Bark,Amsterdam,"['French', 'Dutch', 'Seafood', 'European', 'International', 'Gluten Free Options']",549,4,259
Solo Eten en Drinken,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",550,4,212
Restaurant Hulscher's,Amsterdam,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",551,4.5,109
De Bakkerswinkel Amsterdam South,Amsterdam,"['Cafe', 'European', 'Dutch', 'Vegetarian Friendly', 'Gluten Free Options']",552,4.5,149
Ree7,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",553,4,214
Prego Restaurant,Amsterdam,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",554,4,263
Restaurant Bonjour,Amsterdam,"['French', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",555,4.5,192
Ciro Passami L'Olio,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",556,4.5,167
Eetcafe Rosereijn Amsterdam,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly']",557,4.5,116
De Bolhoed,Amsterdam,"['European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",558,4,438
Dragon I,Amsterdam,"['Sushi', 'Asian', 'Japanese', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",559,4.5,99
Visbar Beet,Amsterdam,"['Dutch', 'Seafood', 'European', 'Pub', 'Bar']",560,4.5,67
Saravanaa Bhavan,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",561,4,217
Sapporo Teppanyaki & Sushi Restaurant,Amsterdam,"['Sushi', 'Grill', 'Japanese', 'Seafood', 'Vegetarian Friendly']",562,4.5,120
Brasserie Blazer,Amsterdam,"['Bar', 'European', 'Pub', 'Dutch', 'International']",563,4.5,101
Brasserie FLO Amsterdam,Amsterdam,"['French', 'Seafood', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",564,4,439
Barceloneta,Amsterdam,"['Seafood', 'Spanish', 'Mediterranean', 'European', 'Vegetarian Friendly']",565,4.5,127
Amstel Brasserie at InterContinental Amstel Amsterdam,Amsterdam,"['European', 'Central European', 'French', 'Dutch', 'Vegetarian Friendly', 'Gluten Free Options']",566,4.5,163
Vapiano,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",567,4,571
Donna Sofia,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",568,4,181
Al Bacaro,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",569,4.5,285
Hoofdstad Brasserie,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",570,4,252
The Bulldog,Amsterdam,"['American', 'Bar', 'Cafe']",571,4,471
Kamasutra,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",572,4,263
Herring & More,Amsterdam,"['Healthy', 'Dutch', 'Fast Food']",573,4.5,66
Bar Brasserie Occo,Amsterdam,"['Dutch', 'European', 'International', 'Contemporary', 'Vegetarian Friendly']",574,4,108
Malaysian restaurant Wau,Amsterdam,"['Singaporean', 'Asian', 'Malaysian', 'Minority Chinese', 'Vegan Options', 'Vegetarian Friendly', 'Gluten Free Options']",575,4,262
Mamouche,Amsterdam,"['Moroccan', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",576,4.5,184
Los Feliz,Amsterdam,"['Mexican', 'Latin', 'Vegetarian Friendly', 'Vegan Options']",577,4.5,62
Maoz Vegetarian,Amsterdam,"['Fast Food', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options']",578,4.5,126
Brasserie Keyzer,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",579,4,467
Restaurant Pizzeria Lucca Due,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",580,4,118
Spang Makandra,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Halal']",581,4,186
Addis Ababa,Amsterdam,"['African', 'Ethiopian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",582,4.5,106
Brut de Mer,Amsterdam,"['French', 'Seafood', 'European', 'Gluten Free Options']",583,4.5,141
Billy Thai's Restaurant,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",584,4.5,166
Cafe Brecht,Amsterdam,"['Bar', 'Cafe', 'Dutch', 'European']",585,4.5,114
Smokin' Barrels,Amsterdam,"['American', 'Bar', 'Pub', 'Barbecue']",586,4,116
Bagels & Beans,Amsterdam,"['Cafe', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",587,4.5,70
Nude burger club,Amsterdam,"['American', 'Fast Food', 'Grill', 'European', 'Vegetarian Friendly']",588,4.5,61
Alfonso's Mexican & Grill Restaurant,Amsterdam,"['Mexican', 'Vegetarian Friendly', 'Gluten Free Options']",589,4,258
Restaurant het Stuivertje,Amsterdam,"['Dutch', 'Vegetarian Friendly', 'Gluten Free Options']",590,4.5,157
Mankind,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Cafe', 'Vegetarian Friendly']",591,4.5,61
Soup en Zo,Amsterdam,"['European', 'Soups', 'International', 'Vegetarian Friendly', 'Vegan Options']",592,4.5,65
Eastwood Amsterdam,Amsterdam,"['American', 'Steakhouse', 'Bar', 'European', 'Gluten Free Options', 'Vegetarian Friendly']",593,4,171
Toasty,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly']",594,4.5,95
LAVINIA GOOD FOOD,Amsterdam,"['Cafe', 'International', 'European', 'Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",595,4.5,137
"Lotti’s Cafe, Bar & Grill",Amsterdam,"['American', 'Bar', 'European', 'Grill', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",596,4,94
Cafe Chantilly,Amsterdam,"['Cafe', 'Fusion', 'Healthy', 'French', 'Dutch', 'European', 'Vegan Options', 'Vegetarian Friendly']",597,5,42
Carnivore Bar-Smoke BBQ,Amsterdam,"['American', 'Bar', 'Barbecue', 'International', 'Healthy', 'European']",598,5,54
Madam,Amsterdam,"['Dutch', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",599,4,306
Piccolo,Amsterdam,"['Italian', 'European', 'Mediterranean', 'Spanish', 'Vegetarian Friendly', 'Vegan Options']",600,5,38
Silk Road Restaurant,Amsterdam,"['International', 'European', 'Gluten Free Options', 'Vegetarian Friendly']",601,4,140
Maydanoz Restaurant,Amsterdam,"['Lebanese', 'Greek', 'Mediterranean', 'Turkish', 'Vegetarian Friendly', 'Halal', 'Vegan Options']",602,4.5,81
Pizza Taxi Da Paolo & Seba,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly']",603,4.5,67
Cafe Bosco,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",604,4.5,132
Diverto,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",605,4.5,179
De Bakkerswinkel Amsterdam West,Amsterdam,"['International', 'Healthy', 'Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",606,4.5,276
Narbonne,Amsterdam,"['Mediterranean', 'European', 'Vegetarian Friendly']",607,4.5,64
